column,type,description,n_unique,n_missing,pct_missing,levels
adrc_id,ID,ADRC participant unique identifier,284,0,0,
pidn,ID,Participant identification number (PIDN) from source system,274,10,3.3,
year_quarter,categorical,Year and quarter of PET scan date (format: YYYY_Q),24,0,0,
visit_number,numeric,Visit number assigned by matching amyloid PET scan date to the closest clinic visit date,8,8,2.64,
Mean.3rd-Ventricle,numeric,Mean amyloid PET intensity in region: 3rd-Ventricle,303,0,0,
Mean.4th-Ventricle,numeric,Mean amyloid PET intensity in region: 4th-Ventricle,303,0,0,
Mean.5th-Ventricle,logical,Mean amyloid PET intensity in region: 5th-Ventricle,0,303,100,
Mean.Brain-Stem,numeric,Mean amyloid PET intensity in region: Brain-Stem,303,0,0,
Mean.CC_Anterior,numeric,Mean amyloid PET intensity in region: CC_Anterior,303,0,0,
Mean.CC_Central,numeric,Mean amyloid PET intensity in region: CC_Central,303,0,0,
Mean.CC_Mid_Anterior,numeric,Mean amyloid PET intensity in region: CC_Mid_Anterior,303,0,0,
Mean.CC_Mid_Posterior,numeric,Mean amyloid PET intensity in region: CC_Mid_Posterior,303,0,0,
Mean.CC_Posterior,numeric,Mean amyloid PET intensity in region: CC_Posterior,303,0,0,
Mean.CSF,numeric,Mean amyloid PET intensity in region: CSF,303,0,0,
Mean.Left-Accumbens-area,numeric,Mean amyloid PET intensity in region: Left-Accumbens-area,303,0,0,
Mean.Left-Amygdala,numeric,Mean amyloid PET intensity in region: Left-Amygdala,303,0,0,
Mean.Left-Caudate,numeric,Mean amyloid PET intensity in region: Left-Caudate,303,0,0,
Mean.Left-Cerebellum-Cortex,numeric,Mean amyloid PET intensity in region: Left-Cerebellum-Cortex,303,0,0,
Mean.Left-Cerebellum-White-Matter,numeric,Mean amyloid PET intensity in region: Left-Cerebellum-White-Matter,303,0,0,
Mean.Left-Cerebral-White-Matter,numeric,Mean amyloid PET intensity in region: Left-Cerebral-White-Matter,303,0,0,
Mean.Left-Hippocampus,numeric,Mean amyloid PET intensity in region: Left-Hippocampus,303,0,0,
Mean.Left-Inf-Lat-Vent,numeric,Mean amyloid PET intensity in region: Left-Inf-Lat-Vent,303,0,0,
Mean.Left-Lateral-Ventricle,numeric,Mean amyloid PET intensity in region: Left-Lateral-Ventricle,303,0,0,
Mean.Left-Pallidum,numeric,Mean amyloid PET intensity in region: Left-Pallidum,303,0,0,
Mean.Left-Putamen,numeric,Mean amyloid PET intensity in region: Left-Putamen,303,0,0,
Mean.Left-Thalamus,numeric,Mean amyloid PET intensity in region: Left-Thalamus,303,0,0,
Mean.Left-VentralDC,numeric,Mean amyloid PET intensity in region: Left-VentralDC,303,0,0,
Mean.Left-choroid-plexus,numeric,Mean amyloid PET intensity in region: Left-choroid-plexus,303,0,0,
Mean.Left-undetermined,numeric,Mean amyloid PET intensity in region: Left-undetermined,1,302,99.67,
Mean.Left-vessel,numeric,Mean amyloid PET intensity in region: Left-vessel,252,51,16.83,
Mean.Optic-Chiasm,numeric,Mean amyloid PET intensity in region: Optic-Chiasm,303,0,0,
Mean.Right-Accumbens-area,numeric,Mean amyloid PET intensity in region: Right-Accumbens-area,303,0,0,
Mean.Right-Amygdala,numeric,Mean amyloid PET intensity in region: Right-Amygdala,303,0,0,
Mean.Right-Caudate,numeric,Mean amyloid PET intensity in region: Right-Caudate,303,0,0,
Mean.Right-Cerebellum-Cortex,numeric,Mean amyloid PET intensity in region: Right-Cerebellum-Cortex,303,0,0,
Mean.Right-Cerebellum-White-Matter,numeric,Mean amyloid PET intensity in region: Right-Cerebellum-White-Matter,303,0,0,
Mean.Right-Cerebral-Cortex,numeric,Mean amyloid PET intensity in region: Right-Cerebral-Cortex,1,302,99.67,
Mean.Right-Cerebral-White-Matter,numeric,Mean amyloid PET intensity in region: Right-Cerebral-White-Matter,303,0,0,
Mean.Right-Hippocampus,numeric,Mean amyloid PET intensity in region: Right-Hippocampus,303,0,0,
Mean.Right-Inf-Lat-Vent,numeric,Mean amyloid PET intensity in region: Right-Inf-Lat-Vent,303,0,0,
Mean.Right-Lateral-Ventricle,numeric,Mean amyloid PET intensity in region: Right-Lateral-Ventricle,303,0,0,
Mean.Right-Pallidum,numeric,Mean amyloid PET intensity in region: Right-Pallidum,303,0,0,
Mean.Right-Putamen,numeric,Mean amyloid PET intensity in region: Right-Putamen,303,0,0,
Mean.Right-Thalamus,numeric,Mean amyloid PET intensity in region: Right-Thalamus,303,0,0,
Mean.Right-VentralDC,numeric,Mean amyloid PET intensity in region: Right-VentralDC,303,0,0,
Mean.Right-choroid-plexus,numeric,Mean amyloid PET intensity in region: Right-choroid-plexus,303,0,0,
Mean.Right-vessel,numeric,Mean amyloid PET intensity in region: Right-vessel,233,70,23.1,
Mean.Unknown,numeric,Mean amyloid PET intensity in region: Unknown,303,0,0,
Mean.WM-hypointensities,numeric,Mean amyloid PET intensity in region: WM-hypointensities,303,0,0,
Mean.ctx-lh-bankssts,numeric,Mean amyloid PET intensity in region: ctx-lh-bankssts,303,0,0,
Mean.ctx-lh-caudalanteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-lh-caudalanteriorcingulate,303,0,0,
Mean.ctx-lh-caudalmiddlefrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-caudalmiddlefrontal,303,0,0,
Mean.ctx-lh-cuneus,numeric,Mean amyloid PET intensity in region: ctx-lh-cuneus,303,0,0,
Mean.ctx-lh-entorhinal,numeric,Mean amyloid PET intensity in region: ctx-lh-entorhinal,303,0,0,
Mean.ctx-lh-frontalpole,numeric,Mean amyloid PET intensity in region: ctx-lh-frontalpole,303,0,0,
Mean.ctx-lh-fusiform,numeric,Mean amyloid PET intensity in region: ctx-lh-fusiform,303,0,0,
Mean.ctx-lh-inferiorparietal,numeric,Mean amyloid PET intensity in region: ctx-lh-inferiorparietal,303,0,0,
Mean.ctx-lh-inferiortemporal,numeric,Mean amyloid PET intensity in region: ctx-lh-inferiortemporal,303,0,0,
Mean.ctx-lh-insula,numeric,Mean amyloid PET intensity in region: ctx-lh-insula,303,0,0,
Mean.ctx-lh-isthmuscingulate,numeric,Mean amyloid PET intensity in region: ctx-lh-isthmuscingulate,303,0,0,
Mean.ctx-lh-lateraloccipital,numeric,Mean amyloid PET intensity in region: ctx-lh-lateraloccipital,303,0,0,
Mean.ctx-lh-lateralorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-lateralorbitofrontal,303,0,0,
Mean.ctx-lh-lingual,numeric,Mean amyloid PET intensity in region: ctx-lh-lingual,303,0,0,
Mean.ctx-lh-medialorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-medialorbitofrontal,303,0,0,
Mean.ctx-lh-middletemporal,numeric,Mean amyloid PET intensity in region: ctx-lh-middletemporal,303,0,0,
Mean.ctx-lh-paracentral,numeric,Mean amyloid PET intensity in region: ctx-lh-paracentral,303,0,0,
Mean.ctx-lh-parahippocampal,numeric,Mean amyloid PET intensity in region: ctx-lh-parahippocampal,303,0,0,
Mean.ctx-lh-parsopercularis,numeric,Mean amyloid PET intensity in region: ctx-lh-parsopercularis,303,0,0,
Mean.ctx-lh-parsorbitalis,numeric,Mean amyloid PET intensity in region: ctx-lh-parsorbitalis,303,0,0,
