column,type,description,Form,Section,Description,Valid_Range_Options,Special_Missing_Codes,n_unique,n_missing,pct_missing
adrc_id,other,ADRC participant unique identifier,,,,,,664,0,0
c2_completed,other,Completion status of the C2 Neuropsychological Battery form,C2 - Neuropsychological Battery,—,-,"0=Incomplete, 1=Unverified, 2=Complete","",3,0,0
b4_completed,other,Completion status of the B4 Global Staging / CDR form,B4 - Global Staging / CDR,Global Staging,Form status,"0=Incomplete, 1=Unverified, 2=Complete","",2,0,0
visit_number,other,Visit number from REDCap event name (no date-based assignment needed for this dataset),,,,,,10,0,0
c2_mocacomp,binary,1a. Was any part of the MoCA administered?,C2 - Neuropsychological Battery,MoCA,1a. Was any part of the MoCA administered?,"0=No, 1=Yes","",2,1051,41.72
c2_mocareas,other,1a. Reason MoCA not administered,C2 - Neuropsychological Battery,MoCA,1a. Reason MoCA not administered,"","95=Physical, 96=Cognitive/behavior, 97=Other, 98=Verbal refusal",0,2519,100
c2_mocaloc,other,1b. Location of MoCA administration,C2 - Neuropsychological Battery,MoCA,1b. Location of MoCA administration,"1=ADC/clinic, 2=Home, 3=In person (other)","",3,1083,42.99
c2_mocalan,other,1c. Language of MoCA administration,C2 - Neuropsychological Battery,MoCA,1c. Language of MoCA administration,"1=English, 2=Spanish, 3=Other","",3,1083,42.99
c2_mocavis,binary,1d. Unable to complete due to visual impairment,C2 - Neuropsychological Battery,MoCA,1d. Unable to complete due to visual impairment,"0=No, 1=Yes","",2,1083,42.99
c2_mocahear,binary,1e. Unable to complete due to hearing impairment,C2 - Neuropsychological Battery,MoCA,1e. Unable to complete due to hearing impairment,"0=No, 1=Yes","",2,1084,43.03
c2_mocatots,numeric,1f. Total raw score (uncorrected),C2 - Neuropsychological Battery,MoCA,1f. Total raw score (uncorrected),0-30,88=Items not administered,31,1098,43.59
c2_mocatrai,numeric,1g. Visuospatial/executive - Trails,C2 - Neuropsychological Battery,MoCA,1g. Visuospatial/executive - Trails,0-1,95-98,2,1095,43.47
c2_mocacube,numeric,1h. Visuospatial/executive - Cube,C2 - Neuropsychological Battery,MoCA,1h. Visuospatial/executive - Cube,0-1,95-98,2,1095,43.47
c2_mocacloc,numeric,1i. Visuospatial/executive - Clock contour,C2 - Neuropsychological Battery,MoCA,1i. Visuospatial/executive - Clock contour,0-1,95-98,2,1095,43.47
c2_mocaclon,numeric,1j. Visuospatial/executive - Clock numbers,C2 - Neuropsychological Battery,MoCA,1j. Visuospatial/executive - Clock numbers,0-1,95-98,2,1095,43.47
c2_mocacloh,numeric,1k. Visuospatial/executive - Clock hands,C2 - Neuropsychological Battery,MoCA,1k. Visuospatial/executive - Clock hands,0-1,95-98,3,1095,43.47
c2_mocanami,numeric,1l. Language - Naming,C2 - Neuropsychological Battery,MoCA,1l. Language - Naming,0-3,95-98,5,1094,43.43
c2_mocaregi,numeric,1m. Memory - Registration (two trials),C2 - Neuropsychological Battery,MoCA,1m. Memory - Registration (two trials),0-10,95-98,11,1096,43.51
c2_mocadigi,numeric,1n. Attention - Digits,C2 - Neuropsychological Battery,MoCA,1n. Attention - Digits,0-2,95-98,3,1095,43.47
c2_mocalett,numeric,1o. Attention - Letter A,C2 - Neuropsychological Battery,MoCA,1o. Attention - Letter A,0-1,95-98,3,1095,43.47
c2_mocaser7,numeric,1p. Attention - Serial 7s,C2 - Neuropsychological Battery,MoCA,1p. Attention - Serial 7s,0-3,95-98,5,1095,43.47
c2_mocarepe,numeric,1q. Language - Repetition,C2 - Neuropsychological Battery,MoCA,1q. Language - Repetition,0-2,95-98,3,1096,43.51
c2_mocaflue,numeric,1r. Language - Fluency,C2 - Neuropsychological Battery,MoCA,1r. Language - Fluency,0-1,95-98,3,1095,43.47
c2_mocaabst,numeric,1s. Abstraction,C2 - Neuropsychological Battery,MoCA,1s. Abstraction,0-2,95-98,4,1095,43.47
