column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
adrc_id,ID,ADRC participant unique identifier,,,,,,,,,,,143,0,0
pidn,ID,Participant identification number,,,,,,,,,,,143,0,0
year_quarter,categorical,Year and quarter of CSF sample collection date (format: YYYY_Q),,,,,,,,,,,21,2,1.32
visit_number,numeric,Visit number assigned by matching CSF collection date to the closest clinic visit date,,,,,,,,,,,4,4,2.63
CRYBB2.10000.28.3,numeric,Beta-crystallin B2 (CRYBB2),10000-28,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,Protein,PASS,126,0,0
RAF1.10001.7.3,numeric,RAF proto-oncogene serine/threonine-protein kinase (RAF1),10001-7,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,Protein,PASS,129,0,0
ZNF41.10003.15.3,numeric,Zinc finger protein 41 (ZNF41),10003-15,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,Protein,PASS,112,0,0
ELK1.10006.25.3,numeric,ETS domain-containing protein Elk-1 (ELK1),10006-25,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,Protein,PASS,100,0,0
GUCA1A.10008.43.3,numeric,Guanylyl cyclase-activating protein 1 (GUCA1A),10008-43,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,Protein,PASS,104,0,0
OCRL.10011.65.3,numeric,Inositol polyphosphate 5-phosphatase OCRL-1 (OCRL),10011-65,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,Protein,PASS,130,0,0
SPDEF.10012.5.3,numeric,SAM pointed domain-containing Ets transcription factor (SPDEF),10012-5,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,Protein,PASS,124,0,0
X.10013.34.3,numeric,Fc_MOUSE (),10013-34,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,110,0,0
SNAI2.10014.31.3,numeric,Zinc finger protein SNAI2 (SNAI2),10014-31,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,Protein,PASS,142,0,0
KCNAB2.10015.119.3,numeric,Voltage-gated potassium channel subunit beta-2 (KCNAB2),10015-119,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,Protein,PASS,121,0,0
X.10021.1.3,numeric,Fc_MOUSE (),10021-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,129,0,0
POLH.10022.207.3,numeric,DNA polymerase eta (POLH),10022-207,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,Protein,PASS,97,0,0
VDR.10023.32.3,numeric,Vitamin D3 receptor (VDR),10023-32,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,Protein,PASS,98,0,0
HOGA1.10024.44.3,numeric,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (HOGA1)",10024-44,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,Protein,PASS,111,0,0
MUTYH.10030.8.3,numeric,Adenine DNA glycosylase (MUTYH),10030-8,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,Protein,PASS,102,0,0
X.10034.16.3,numeric,Fc_MOUSE (),10034-16,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,118,0,0
DUSP4.10035.6.3,numeric,Dual specificity protein phosphatase 4 (DUSP4),10035-6,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,Protein,PASS,127,0,0
ZHX3.10036.201.3,numeric,,,,,,,,,,,,151,0,0
SIGLEC12.10037.98.3,numeric,Sialic acid-binding Ig-like lectin 12 (SIGLEC12),10037-98,SL018490,Sialic acid-binding Ig-like lectin 12,SIG12,Q96PQ1,89858,SIGLEC12,Human,Protein,PASS,102,0,0
TP63.10040.63.3,numeric,Tumor protein 63 (TP63),10040-63,SL007662,Tumor protein 63,P73L,Q9H3D4,8626,TP63,Human,Protein,PASS,109,0,0
HNF4A.10041.3.3,numeric,Hepatocyte nuclear factor 4-alpha (HNF4A),10041-3,SL007226,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,3172,HNF4A,Human,Protein,PASS,150,0,0
SGK3.10042.8.3,numeric,Serine/threonine-protein kinase Sgk3 (SGK3),10042-8,SL015131,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,23678,SGK3,Human,Protein,PASS,145,0,0
BRD4.10043.31.3,numeric,Bromodomain-containing protein 4 (BRD4),10043-31,SL019249,Bromodomain-containing protein 4,BRD4,O60885,23476,BRD4,Human,Protein,PASS,128,0,0
WNT10A.10044.12.3,numeric,Protein Wnt-10a (WNT10A),10044-12,SL012823,Protein Wnt-10a,WN10A,Q9GZT5,80326,WNT10A,Human,Protein,PASS,110,0,0
CUL3.10045.47.3,numeric,Cullin-3 (CUL3),10045-47,SL010989,Cullin-3,CUL3,Q13618,8452,CUL3,Human,Protein,PASS,100,0,0
BIRC2.10046.55.3,numeric,Baculoviral IAP repeat-containing protein 2 (BIRC2),10046-55,SL003727,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,329,BIRC2,Human,Protein,PASS,138,0,0
NCF2.10047.12.3,numeric,Neutrophil cytosol factor 2 (NCF2),10047-12,SL004553,Neutrophil cytosol factor 2,NCF-2,P19878,4688,NCF2,Human,Protein,PASS,138,0,0
CBFB.10048.7.3,numeric,Core-binding factor subunit beta (CBFB),10048-7,SL011998,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,Human,Protein,PASS,128,0,0
TERF1.10049.112.3,numeric,Telomeric repeat-binding factor 1 (TERF1),10049-112,SL019242,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,Human,Protein,PASS,116,0,0
ILK.10053.5.3,numeric,Integrin-linked protein kinase (ILK),10053-5,SL004474,Integrin-linked protein kinase,ILK1,Q13418,3611,ILK,Human,Protein,PASS,79,0,0
GAN.10054.3.3,numeric,Gigaxonin (GAN),10054-3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,Protein,PASS,83,0,0
FOXM1.10056.5.3,numeric,Forkhead box protein M1 (FOXM1),10056-5,SL007372,Forkhead box protein M1,FOXM1,Q08050,2305,FOXM1,Human,Protein,PASS,113,0,0
RAD23A.10058.1.3,numeric,UV excision repair protein RAD23 homolog A (RAD23A),10058-1,SL013796,UV excision repair protein RAD23 homolog A,RD23A,P54725,5886,RAD23A,Human,Protein,PASS,148,0,0
FANCL.10063.10.3,numeric,E3 ubiquitin-protein ligase FANCL (FANCL),10063-10,SL019237,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,Human,Protein,PASS,124,0,0
RBBP9.10064.12.3,numeric,Putative hydrolase RBBP9 (RBBP9),10064-12,SL011550,Putative hydrolase RBBP9,RBBP9,O75884,10741,RBBP9,Human,Protein,PASS,144,0,0
PLCG2.10070.22.3,numeric,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (PLCG2)",10070-22,SL016406,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,5336,PLCG2,Human,Protein,PASS,119,0,0
TDP1.10073.22.3,numeric,Tyrosyl-DNA phosphodiesterase 1 (TDP1),10073-22,SL011411,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,55775,TDP1,Human,Protein,PASS,131,0,0
BRD2.10074.128.3,numeric,Bromodomain-containing protein 2 (BRD2),10074-128,SL014748,Bromodomain-containing protein 2,BRD2,P25440,6046,BRD2,Human,Protein,PASS,136,0,0
ACBD6.10075.75.3,numeric,Acyl-CoA-binding domain-containing protein 6 (ACBD6),10075-75,SL019254,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,84320,ACBD6,Human,Protein,PASS,85,0,0
AP4M1.10076.1.3,numeric,AP-4 complex subunit mu-1 (AP4M1),10076-1,SL019225,AP-4 complex subunit mu-1,AP4M1,O00189,9179,AP4M1,Human,Protein,PASS,134,0,0
BAG3.10078.5.3,numeric,BAG family molecular chaperone regulator 3 (BAG3),10078-5,SL007063,BAG family molecular chaperone regulator 3,BAG3,O95817,9531,BAG3,Human,Protein,PASS,133,0,0
EIF2B1.10080.9.3,numeric,Translation initiation factor eIF-2B subunit alpha (EIF2B1),10080-9,SL019240,Translation initiation factor eIF-2B subunit alpha,EI2BA,Q14232,1967,EIF2B1,Human,Protein,PASS,77,0,0
SATB2.10081.17.3,numeric,DNA-binding protein SATB2 (SATB2),10081-17,SL019243,DNA-binding protein SATB2,SATB2,Q9UPW6,23314,SATB2,Human,Protein,PASS,108,0,0
NEFL.10082.251.3,numeric,Neurofilament light polypeptide (NEFL),10082-251,SL019251,Neurofilament light polypeptide,NFL,P07196,4747,NEFL,Human,Protein,PASS,151,0,0
STAR.10085.25.3,numeric,"Steroidogenic acute regulatory protein, mitochondrial (STAR)",10085-25,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,Protein,PASS,147,0,0
CBS.10086.39.3,numeric,Cystathionine beta-synthase (CBS),10086-39,SL018882,Cystathionine beta-synthase,CBS,P35520,875,CBS,Human,Protein,PASS,115,0,0
CRYAA.10087.10.3,numeric,Alpha-crystallin A chain (CRYAA),10087-10,SL003675,Alpha-crystallin A chain,Alpha crystallin A chain,P02489,102724652,CRYAA,Human,Protein,PASS,109,0,0
APRT.10088.37.3,numeric,Adenine phosphoribosyltransferase (APRT),10088-37,SL008014,Adenine phosphoribosyltransferase,APT,P07741,353,APRT,Human,Protein,PASS,102,0,0
ASMTL.10089.7.3,numeric,N-acetylserotonin O-methyltransferase-like protein (ASMTL),10089-7,SL019244,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,8623,ASMTL,Human,Protein,PASS,121,0,0
STUB1.10336.3.3,numeric,E3 ubiquitin-protein ligase CHIP (STUB1),10336-3,SL019100,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,10273,STUB1,Human,Protein,PASS,116,0,0
ENO2.10339.48.3,numeric,Gamma-enolase (ENO2),10339-48,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,Protein,PASS,152,0,0
PIAS4.10342.55.3,numeric,E3 SUMO-protein ligase PIAS4 (PIAS4),10342-55,SL019096,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,51588,PIAS4,Human,Protein,PASS,112,0,0
IL10RA.10344.334.3,numeric,,,,,,,,,,,,151,0,0
STAT3.10346.5.3,numeric,Signal transducer and activator of transcription 3 (STAT3),10346-5,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,Protein,PASS,146,0,0
JUN.10356.21.3,numeric,,,,,,,,,,,,142,0,0
OAS1.10361.25.3,numeric,2'-5'-oligoadenylate synthase 1 (OAS1),10361-25,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,Protein,PASS,126,0,0
MYC.10362.35.3,numeric,Myc proto-oncogene protein (MYC),10362-35,SL002565,Myc proto-oncogene protein,c-Myc,P01106,4609,MYC,Human,Protein,PASS,118,0,0
