column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
adrc_id,ID,ADRC participant unique identifier,,,,,,,,,,,426,0,0
pidn,ID,Participant identification number,,,,,,,,,,,426,0,0
year_quarter,categorical,Year and quarter of plasma sample collection date (format: YYYY_Q),,,,,,,,,,,23,0,0
visit_number,numeric,Visit number assigned by matching plasma collection date to the closest clinic visit date,,,,,,,,,,,5,5,0.62
CRYBB2.10000.28.3,numeric,Beta-crystallin B2 (CRYBB2),10000-28,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,Protein,PASS,677,0,0
RAF1.10001.7.3,numeric,RAF proto-oncogene serine/threonine-protein kinase (RAF1),10001-7,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,Protein,PASS,672,0,0
ZNF41.10003.15.3,numeric,Zinc finger protein 41 (ZNF41),10003-15,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,Protein,PASS,516,0,0
ELK1.10006.25.3,numeric,ETS domain-containing protein Elk-1 (ELK1),10006-25,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,Protein,PASS,672,0,0
GUCA1A.10008.43.3,numeric,Guanylyl cyclase-activating protein 1 (GUCA1A),10008-43,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,Protein,PASS,654,0,0
BECN1.10010.10.3,numeric,Beclin-1 (BECN1),10010-10,SL014943,Beclin-1,BECN1,Q14457,8678,BECN1,Human,Protein,PASS,569,0,0
OCRL.10011.65.3,numeric,Inositol polyphosphate 5-phosphatase OCRL-1 (OCRL),10011-65,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,Protein,PASS,788,0,0
SPDEF.10012.5.3,numeric,SAM pointed domain-containing Ets transcription factor (SPDEF),10012-5,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,Protein,PASS,762,0,0
X.10013.34.3,numeric,Fc_MOUSE (),10013-34,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,673,0,0
SNAI2.10014.31.3,numeric,Zinc finger protein SNAI2 (SNAI2),10014-31,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,Protein,PASS,702,0,0
KCNAB2.10015.119.3,numeric,Voltage-gated potassium channel subunit beta-2 (KCNAB2),10015-119,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,Protein,PASS,699,0,0
X.10021.1.3,numeric,Fc_MOUSE (),10021-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,759,0,0
POLH.10022.207.3,numeric,DNA polymerase eta (POLH),10022-207,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,Protein,PASS,556,0,0
VDR.10023.32.3,numeric,Vitamin D3 receptor (VDR),10023-32,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,Protein,PASS,695,0,0
HOGA1.10024.44.3,numeric,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (HOGA1)",10024-44,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,Protein,PASS,691,0,0
DLD.10025.1.3,numeric,"Dihydrolipoyl dehydrogenase, mitochondrial (DLD)",10025-1,SL008018,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,Human,Protein,PASS,765,0,0
