column,type,description,n_unique,n_missing,pct_missing
adrc_id,ID,ADRC participant unique identifier,311,0,0
pidn,ID,Participant identification number,311,0,0
year_quarter,categorical,Year and quarter of scRNA-seq sample collection date (format: YYYY_Q),18,0,0
visit_number,numeric,Visit number assigned by matching scRNA-seq collection date to the closest clinic visit date,5,2,0.42
7SK_CD14_Monocyte,numeric,Expression level of gene 7SK in cell type: CD14_Monocyte,75,0,0
A1BG_CD14_Monocyte,numeric,Expression level of gene A1BG in cell type: CD14_Monocyte,105,0,0
A1BG-AS1_CD14_Monocyte,numeric,Expression level of gene A1BG-AS1 in cell type: CD14_Monocyte,25,0,0
A2M_CD14_Monocyte,numeric,Expression level of gene A2M in cell type: CD14_Monocyte,22,0,0
A2M-AS1_CD14_Monocyte,numeric,Expression level of gene A2M-AS1 in cell type: CD14_Monocyte,25,0,0
A2MP1_CD14_Monocyte,numeric,Expression level of gene A2MP1 in cell type: CD14_Monocyte,29,0,0
AAAS_CD14_Monocyte,numeric,Expression level of gene AAAS in cell type: CD14_Monocyte,75,0,0
AACS_CD14_Monocyte,numeric,Expression level of gene AACS in cell type: CD14_Monocyte,37,0,0
AAGAB_CD14_Monocyte,numeric,Expression level of gene AAGAB in cell type: CD14_Monocyte,134,0,0
AAK1_CD14_Monocyte,numeric,Expression level of gene AAK1 in cell type: CD14_Monocyte,241,0,0
AAMDC_CD14_Monocyte,numeric,Expression level of gene AAMDC in cell type: CD14_Monocyte,62,0,0
AAMP_CD14_Monocyte,numeric,Expression level of gene AAMP in cell type: CD14_Monocyte,180,0,0
AAR2_CD14_Monocyte,numeric,Expression level of gene AAR2 in cell type: CD14_Monocyte,81,0,0
AARS_CD14_Monocyte,numeric,Expression level of gene AARS in cell type: CD14_Monocyte,51,0,0
AARS2_CD14_Monocyte,numeric,Expression level of gene AARS2 in cell type: CD14_Monocyte,46,0,0
AARSD1_CD14_Monocyte,numeric,Expression level of gene AARSD1 in cell type: CD14_Monocyte,110,0,0
AASDH_CD14_Monocyte,numeric,Expression level of gene AASDH in cell type: CD14_Monocyte,74,0,0
AASDHPPT_CD14_Monocyte,numeric,Expression level of gene AASDHPPT in cell type: CD14_Monocyte,99,0,0
AASS_CD14_Monocyte,numeric,Expression level of gene AASS in cell type: CD14_Monocyte,20,0,0
AATBC_CD14_Monocyte,numeric,Expression level of gene AATBC in cell type: CD14_Monocyte,52,0,0
AATF_CD14_Monocyte,numeric,Expression level of gene AATF in cell type: CD14_Monocyte,189,0,0
AATK_CD14_Monocyte,numeric,Expression level of gene AATK in cell type: CD14_Monocyte,35,0,0
ABALON_CD14_Monocyte,numeric,Expression level of gene ABALON in cell type: CD14_Monocyte,13,0,0
ABAT_CD14_Monocyte,numeric,Expression level of gene ABAT in cell type: CD14_Monocyte,58,0,0
ABCA1_CD14_Monocyte,numeric,Expression level of gene ABCA1 in cell type: CD14_Monocyte,81,0,0
ABCA10_CD14_Monocyte,numeric,Expression level of gene ABCA10 in cell type: CD14_Monocyte,6,0,0
ABCA11P_CD14_Monocyte,numeric,Expression level of gene ABCA11P in cell type: CD14_Monocyte,45,0,0
ABCA17P_CD14_Monocyte,numeric,Expression level of gene ABCA17P in cell type: CD14_Monocyte,4,0,0
ABCA2_CD14_Monocyte,numeric,Expression level of gene ABCA2 in cell type: CD14_Monocyte,40,0,0
ABCA3_CD14_Monocyte,numeric,Expression level of gene ABCA3 in cell type: CD14_Monocyte,28,0,0
ABCA5_CD14_Monocyte,numeric,Expression level of gene ABCA5 in cell type: CD14_Monocyte,66,0,0
ABCA6_CD14_Monocyte,numeric,Expression level of gene ABCA6 in cell type: CD14_Monocyte,7,0,0
ABCA7_CD14_Monocyte,numeric,Expression level of gene ABCA7 in cell type: CD14_Monocyte,165,0,0
ABCB1_CD14_Monocyte,numeric,Expression level of gene ABCB1 in cell type: CD14_Monocyte,51,0,0
ABCB10_CD14_Monocyte,numeric,Expression level of gene ABCB10 in cell type: CD14_Monocyte,65,0,0
ABCB4_CD14_Monocyte,numeric,Expression level of gene ABCB4 in cell type: CD14_Monocyte,21,0,0
ABCB6_CD14_Monocyte,numeric,Expression level of gene ABCB6 in cell type: CD14_Monocyte,18,0,0
ABCB7_CD14_Monocyte,numeric,Expression level of gene ABCB7 in cell type: CD14_Monocyte,92,0,0
ABCB8_CD14_Monocyte,numeric,Expression level of gene ABCB8 in cell type: CD14_Monocyte,63,0,0
ABCB9_CD14_Monocyte,numeric,Expression level of gene ABCB9 in cell type: CD14_Monocyte,68,0,0
ABCC1_CD14_Monocyte,numeric,Expression level of gene ABCC1 in cell type: CD14_Monocyte,146,0,0
ABCC10_CD14_Monocyte,numeric,Expression level of gene ABCC10 in cell type: CD14_Monocyte,65,0,0
ABCC11_CD14_Monocyte,numeric,Expression level of gene ABCC11 in cell type: CD14_Monocyte,2,0,0
ABCC2_CD14_Monocyte,numeric,Expression level of gene ABCC2 in cell type: CD14_Monocyte,20,0,0
ABCC3_CD14_Monocyte,numeric,Expression level of gene ABCC3 in cell type: CD14_Monocyte,123,0,0
ABCC4_CD14_Monocyte,numeric,Expression level of gene ABCC4 in cell type: CD14_Monocyte,48,0,0
ABCC5_CD14_Monocyte,numeric,Expression level of gene ABCC5 in cell type: CD14_Monocyte,73,0,0
ABCD1_CD14_Monocyte,numeric,Expression level of gene ABCD1 in cell type: CD14_Monocyte,70,0,0
ABCD2_CD14_Monocyte,numeric,Expression level of gene ABCD2 in cell type: CD14_Monocyte,19,0,0
ABCD3_CD14_Monocyte,numeric,Expression level of gene ABCD3 in cell type: CD14_Monocyte,81,0,0
ABCD4_CD14_Monocyte,numeric,Expression level of gene ABCD4 in cell type: CD14_Monocyte,129,0,0
ABCE1_CD14_Monocyte,numeric,Expression level of gene ABCE1 in cell type: CD14_Monocyte,115,0,0
ABCF1_CD14_Monocyte,numeric,Expression level of gene ABCF1 in cell type: CD14_Monocyte,236,0,0
ABCF2_CD14_Monocyte,numeric,Expression level of gene ABCF2 in cell type: CD14_Monocyte,70,0,0
ABCF3_CD14_Monocyte,numeric,Expression level of gene ABCF3 in cell type: CD14_Monocyte,88,0,0
ABCG1_CD14_Monocyte,numeric,Expression level of gene ABCG1 in cell type: CD14_Monocyte,39,0,0
ABHD1_CD14_Monocyte,numeric,Expression level of gene ABHD1 in cell type: CD14_Monocyte,7,0,0
ABHD10_CD14_Monocyte,numeric,Expression level of gene ABHD10 in cell type: CD14_Monocyte,74,0,0
ABHD11_CD14_Monocyte,numeric,Expression level of gene ABHD11 in cell type: CD14_Monocyte,82,0,0
ABHD12_CD14_Monocyte,numeric,Expression level of gene ABHD12 in cell type: CD14_Monocyte,105,0,0
ABHD13_CD14_Monocyte,numeric,Expression level of gene ABHD13 in cell type: CD14_Monocyte,109,0,0
ABHD14A_CD14_Monocyte,numeric,Expression level of gene ABHD14A in cell type: CD14_Monocyte,57,0,0
ABHD14A-ACY1_CD14_Monocyte,numeric,Expression level of gene ABHD14A-ACY1 in cell type: CD14_Monocyte,42,0,0
ABHD14B_CD14_Monocyte,numeric,Expression level of gene ABHD14B in cell type: CD14_Monocyte,142,0,0
ABHD15_CD14_Monocyte,numeric,Expression level of gene ABHD15 in cell type: CD14_Monocyte,70,0,0
ABHD15-AS1_CD14_Monocyte,numeric,Expression level of gene ABHD15-AS1 in cell type: CD14_Monocyte,32,0,0
ABHD16A_CD14_Monocyte,numeric,Expression level of gene ABHD16A in cell type: CD14_Monocyte,91,0,0
ABHD17A_CD14_Monocyte,numeric,Expression level of gene ABHD17A in cell type: CD14_Monocyte,189,0,0
ABHD17AP3_CD14_Monocyte,numeric,Expression level of gene ABHD17AP3 in cell type: CD14_Monocyte,10,0,0
ABHD17B_CD14_Monocyte,numeric,Expression level of gene ABHD17B in cell type: CD14_Monocyte,60,0,0
ABHD17C_CD14_Monocyte,numeric,Expression level of gene ABHD17C in cell type: CD14_Monocyte,12,0,0
ABHD18_CD14_Monocyte,numeric,Expression level of gene ABHD18 in cell type: CD14_Monocyte,96,0,0
ABHD2_CD14_Monocyte,numeric,Expression level of gene ABHD2 in cell type: CD14_Monocyte,156,0,0
ABHD3_CD14_Monocyte,numeric,Expression level of gene ABHD3 in cell type: CD14_Monocyte,137,0,0
ABHD4_CD14_Monocyte,numeric,Expression level of gene ABHD4 in cell type: CD14_Monocyte,34,0,0
ABHD5_CD14_Monocyte,numeric,Expression level of gene ABHD5 in cell type: CD14_Monocyte,133,0,0
ABHD6_CD14_Monocyte,numeric,Expression level of gene ABHD6 in cell type: CD14_Monocyte,52,0,0
ABHD8_CD14_Monocyte,numeric,Expression level of gene ABHD8 in cell type: CD14_Monocyte,55,0,0
ABI1_CD14_Monocyte,numeric,Expression level of gene ABI1 in cell type: CD14_Monocyte,208,0,0
ABI2_CD14_Monocyte,numeric,Expression level of gene ABI2 in cell type: CD14_Monocyte,92,0,0
ABI3_CD14_Monocyte,numeric,Expression level of gene ABI3 in cell type: CD14_Monocyte,195,0,0
ABITRAM_CD14_Monocyte,numeric,Expression level of gene ABITRAM in cell type: CD14_Monocyte,45,0,0
ABL1_CD14_Monocyte,numeric,Expression level of gene ABL1 in cell type: CD14_Monocyte,79,0,0
ABL2_CD14_Monocyte,numeric,Expression level of gene ABL2 in cell type: CD14_Monocyte,96,0,0
ABLIM1_CD14_Monocyte,numeric,Expression level of gene ABLIM1 in cell type: CD14_Monocyte,115,0,0
ABLIM2_CD14_Monocyte,numeric,Expression level of gene ABLIM2 in cell type: CD14_Monocyte,9,0,0
ABO_CD14_Monocyte,numeric,Expression level of gene ABO in cell type: CD14_Monocyte,23,0,0
ABR_CD14_Monocyte,numeric,Expression level of gene ABR in cell type: CD14_Monocyte,158,0,0
ABRACL_CD14_Monocyte,numeric,Expression level of gene ABRACL in cell type: CD14_Monocyte,206,0,0
ABRAXAS1_CD14_Monocyte,numeric,Expression level of gene ABRAXAS1 in cell type: CD14_Monocyte,81,0,0
ABRAXAS2_CD14_Monocyte,numeric,Expression level of gene ABRAXAS2 in cell type: CD14_Monocyte,65,0,0
ABT1_CD14_Monocyte,numeric,Expression level of gene ABT1 in cell type: CD14_Monocyte,116,0,0
