column,type,description,n_unique,n_missing,pct_missing,levels
adrc_id,ID,ADRC participant unique identifier,205,0,0,
pidn,ID,Participant identification number (PIDN) from source system,197,8,3.54,
year_quarter,categorical,Year and quarter of PET scan date (format: YYYY_Q),20,0,0,
visit_number,numeric,Visit number assigned by matching tau PET scan date to the closest clinic visit date,9,8,3.54,
Mean.3rd-Ventricle,numeric,Mean tau PET intensity in region: 3rd-Ventricle,226,0,0,
Mean.4th-Ventricle,numeric,Mean tau PET intensity in region: 4th-Ventricle,226,0,0,
Mean.5th-Ventricle,numeric,Mean tau PET intensity in region: 5th-Ventricle,2,224,99.12,
Mean.Brain-Stem,numeric,Mean tau PET intensity in region: Brain-Stem,226,0,0,
Mean.CC_Anterior,numeric,Mean tau PET intensity in region: CC_Anterior,226,0,0,
Mean.CC_Central,numeric,Mean tau PET intensity in region: CC_Central,226,0,0,
Mean.CC_Mid_Anterior,numeric,Mean tau PET intensity in region: CC_Mid_Anterior,226,0,0,
Mean.CC_Mid_Posterior,numeric,Mean tau PET intensity in region: CC_Mid_Posterior,226,0,0,
Mean.CC_Posterior,numeric,Mean tau PET intensity in region: CC_Posterior,226,0,0,
Mean.CSF,numeric,Mean tau PET intensity in region: CSF,226,0,0,
Mean.Cerebellum_Inf,numeric,Mean tau PET intensity in region: Cerebellum_Inf,226,0,0,
Mean.Left-Accumbens-area,numeric,Mean tau PET intensity in region: Left-Accumbens-area,226,0,0,
Mean.Left-Amygdala,numeric,Mean tau PET intensity in region: Left-Amygdala,226,0,0,
Mean.Left-Caudate,numeric,Mean tau PET intensity in region: Left-Caudate,226,0,0,
Mean.Left-Cerebellum-Cortex,numeric,Mean tau PET intensity in region: Left-Cerebellum-Cortex,226,0,0,
Mean.Left-Cerebellum-White-Matter,numeric,Mean tau PET intensity in region: Left-Cerebellum-White-Matter,226,0,0,
Mean.Left-Cerebral-White-Matter,numeric,Mean tau PET intensity in region: Left-Cerebral-White-Matter,226,0,0,
Mean.Left-Hippocampus,numeric,Mean tau PET intensity in region: Left-Hippocampus,226,0,0,
Mean.Left-Inf-Lat-Vent,numeric,Mean tau PET intensity in region: Left-Inf-Lat-Vent,226,0,0,
Mean.Left-Lateral-Ventricle,numeric,Mean tau PET intensity in region: Left-Lateral-Ventricle,226,0,0,
Mean.Left-Pallidum,numeric,Mean tau PET intensity in region: Left-Pallidum,226,0,0,
Mean.Left-Putamen,numeric,Mean tau PET intensity in region: Left-Putamen,226,0,0,
Mean.Left-Thalamus,numeric,Mean tau PET intensity in region: Left-Thalamus,226,0,0,
Mean.Left-VentralDC,numeric,Mean tau PET intensity in region: Left-VentralDC,226,0,0,
Mean.Left-choroid-plexus,numeric,Mean tau PET intensity in region: Left-choroid-plexus,226,0,0,
Mean.Left-undetermined,numeric,Mean tau PET intensity in region: Left-undetermined,1,225,99.56,
Mean.Left-vessel,numeric,Mean tau PET intensity in region: Left-vessel,203,23,10.18,
Mean.Optic-Chiasm,numeric,Mean tau PET intensity in region: Optic-Chiasm,226,0,0,
Mean.Right-Accumbens-area,numeric,Mean tau PET intensity in region: Right-Accumbens-area,226,0,0,
Mean.Right-Amygdala,numeric,Mean tau PET intensity in region: Right-Amygdala,226,0,0,
Mean.Right-Caudate,numeric,Mean tau PET intensity in region: Right-Caudate,226,0,0,
