column,type,description,n_unique,n_missing,pct_missing,levels
adrc_id,ID,ADRC participant unique identifier,335,0,0,
pidn,ID,Participant identification number,323,19,3.39,
year_quarter,categorical,Year and quarter of MRI scan date (format: YYYY_Q),28,0,0,2016_3 ; 2017_2 ; 2017_3 ; 2018_1 ; 2018_4 ; 2019_1 ; 2019_2 ; 2019_3 ; 2019_4 ; 2020_1 ; 2020_4 ; 2021_1 ; 2021_2 ; 2021_3 ; 2021_4 ; 2022_1 ; 2022_2 ; 2022_3 ; 2022_4 ; 2023_1 ; 2023_2 ; 2023_3 ; 2023_4 ; 2024_1 ; 2024_2 ; 2024_3 ; 2024_4 ; 2025_1
visit_number,numeric,Visit number assigned by matching MRI scan date to the closest clinic visit date,9,16,2.85,
type,categorical,MRI scan type or sequence identifier,2,32,5.7,amyloid ; tau
rh_bankssts_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: bankssts,371,0,0,
rh_caudalanteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: caudalanteriorcingulate,406,0,0,
rh_caudalmiddlefrontal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: caudalmiddlefrontal,325,0,0,
rh_cuneus_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: cuneus,360,0,0,
rh_entorhinal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: entorhinal,463,0,0,
rh_fusiform_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: fusiform,362,0,0,
rh_inferiorparietal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: inferiorparietal,344,0,0,
rh_inferiortemporal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: inferiortemporal,370,0,0,
rh_isthmuscingulate_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: isthmuscingulate,375,0,0,
rh_lateraloccipital_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: lateraloccipital,348,0,0,
rh_lateralorbitofrontal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: lateralorbitofrontal,342,0,0,
rh_lingual_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: lingual,362,0,0,
rh_medialorbitofrontal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: medialorbitofrontal,380,0,0,
rh_middletemporal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: middletemporal,350,0,0,
rh_parahippocampal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: parahippocampal,422,0,0,
rh_paracentral_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: paracentral,342,0,0,
rh_parsopercularis_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: parsopercularis,335,0,0,
rh_parsorbitalis_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: parsorbitalis,380,0,0,
rh_parstriangularis_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: parstriangularis,326,0,0,
rh_pericalcarine_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: pericalcarine,367,0,0,
rh_postcentral_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: postcentral,335,0,0,
rh_posteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: posteriorcingulate,361,0,0,
rh_precentral_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: precentral,358,0,0,
rh_precuneus_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: precuneus,338,0,0,
rh_rostralanteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: rostralanteriorcingulate,419,0,0,
rh_rostralmiddlefrontal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: rostralmiddlefrontal,305,0,0,
rh_superiorfrontal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: superiorfrontal,328,0,0,
rh_superiorparietal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: superiorparietal,348,0,0,
rh_superiortemporal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: superiortemporal,352,0,0,
rh_supramarginal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: supramarginal,325,0,0,
rh_frontalpole_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: frontalpole,408,0,0,
rh_temporalpole_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: temporalpole,447,0,0,
rh_transversetemporal_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: transversetemporal,399,0,0,
rh_insula_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: insula,377,0,0,
rh_MeanThickness_thickness,numeric,Mean cortical thickness (mm) in right hemisphere region: MeanThickness,553,0,0,
lh_bankssts_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: bankssts,364,0,0,
lh_caudalanteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: caudalanteriorcingulate,416,0,0,
lh_caudalmiddlefrontal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: caudalmiddlefrontal,337,0,0,
lh_cuneus_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: cuneus,346,0,0,
lh_entorhinal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: entorhinal,468,0,0,
lh_fusiform_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: fusiform,359,0,0,
lh_inferiorparietal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: inferiorparietal,345,0,0,
lh_inferiortemporal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: inferiortemporal,367,0,0,
lh_isthmuscingulate_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: isthmuscingulate,365,0,0,
lh_lateraloccipital_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: lateraloccipital,345,0,0,
lh_lateralorbitofrontal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: lateralorbitofrontal,357,0,0,
lh_lingual_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: lingual,357,0,0,
lh_medialorbitofrontal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: medialorbitofrontal,370,0,0,
lh_middletemporal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: middletemporal,360,0,0,
lh_parahippocampal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: parahippocampal,455,0,0,
lh_paracentral_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: paracentral,335,0,0,
lh_parsopercularis_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: parsopercularis,315,0,0,
lh_parsorbitalis_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: parsorbitalis,389,0,0,
lh_parstriangularis_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: parstriangularis,342,0,0,
lh_pericalcarine_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: pericalcarine,360,0,0,
lh_postcentral_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: postcentral,347,0,0,
lh_posteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: posteriorcingulate,350,0,0,
lh_precentral_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: precentral,378,0,0,
lh_precuneus_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: precuneus,332,0,0,
lh_rostralanteriorcingulate_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: rostralanteriorcingulate,411,0,0,
lh_rostralmiddlefrontal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: rostralmiddlefrontal,318,0,0,
lh_superiorfrontal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: superiorfrontal,319,0,0,
lh_superiorparietal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: superiorparietal,325,0,0,
lh_superiortemporal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: superiortemporal,371,0,0,
lh_supramarginal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: supramarginal,355,0,0,
lh_frontalpole_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: frontalpole,413,0,0,
lh_temporalpole_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: temporalpole,445,0,0,
lh_transversetemporal_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: transversetemporal,381,0,0,
lh_insula_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: insula,363,0,0,
lh_MeanThickness_thickness,numeric,Mean cortical thickness (mm) in left hemisphere region: MeanThickness,553,0,0,
BrainSegVolNotVent,numeric,"Total brain segmentation volume excluding ventricles (mm³), derived from FreeSurfer",557,0,0,
eTIV,numeric,"Estimated total intracranial volume (eTIV, mm³); used as a covariate to normalize regional volumes for head size",555,0,0,
